City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Polyarny,69.2,33.45,50.0,81,75,8.95,RU,1596259439
Umm Hājar,13.3,19.7,79.02,74,49,8.9,TD,1596259439
Lakatoro,-16.1,167.42,82.4,83,75,6.93,VU,1596259066
Berlevåg,70.86,29.09,49.66,91,100,7.72,NO,1596259440
Mbala,-8.84,31.37,55.02,83,18,14.58,ZM,1596259440
Sisimiut,66.94,-53.67,44.89,94,100,8.32,GL,1596259441
Kaitangata,-46.28,169.85,55.0,73,100,1.99,NZ,1596259441
Nanortalik,60.14,-45.24,43.03,89,14,13.6,GL,1596259441
Grandview,38.89,-94.53,66.99,88,1,3.36,US,1596259442
Anloga,5.79,0.9,75.2,94,75,4.7,GH,1596259442
Assiniboia,49.63,-105.98,64.96,59,0,8.23,CA,1596259442
Havelock,34.88,-76.9,84.2,20,20,5.82,US,1596259352
Upornaya,44.39,41.02,75.87,54,0,4.9,RU,1596259442
Khalkhāl,37.62,48.53,66.02,48,0,2.8,IR,1596259443
La Palma,33.85,-118.05,75.0,53,1,4.7,US,1596259443
Touros,-5.2,-35.46,69.8,100,20,4.7,BR,1596259443
Honningsvåg,70.98,25.97,50.9,88,93,5.21,NO,1596259443
Singaraja,-8.11,115.09,84.54,55,20,2.57,ID,1596259443
Faanui,-16.48,-151.75,78.8,77,0,12.35,PF,1596259444
Taoudenni,22.68,-3.98,94.15,13,0,12.48,ML,1596259444
Soe,-9.86,124.28,77.0,41,0,10.98,ID,1596259444
Tuntum,-5.26,-44.65,73.02,49,4,5.61,BR,1596259444
Sokoto,13.06,5.24,75.27,84,17,13.44,NG,1596259444
Hamilton,39.18,-84.53,75.99,88,90,4.7,US,1596259358
Lorengau,-2.02,147.27,84.69,73,93,6.33,PG,1596259445
Camacha,33.08,-16.33,68.0,77,20,8.05,PT,1596259445
Alofi,-19.06,-169.92,71.6,73,50,9.17,NU,1596259445
Korla,41.76,86.15,88.21,15,0,10.98,CN,1596259445
Port Macquarie,-31.43,152.92,66.99,61,0,6.55,AU,1596259446
Diffa,13.32,12.61,81.59,61,84,11.7,NE,1596259446
Hithadhoo,-0.6,73.08,83.39,71,3,7.56,MV,1596259446
Trairi,-3.28,-39.27,74.46,87,68,8.63,BR,1596259446
La Santisima Trinidad,-14.83,-64.9,68.23,58,2,2.82,BO,1596259446
Mocuba,-16.84,36.99,62.4,87,72,4.21,MZ,1596259447
Ambon City,-3.7,128.18,77.0,88,75,4.7,ID,1596259447
Arrondissement de Bergerac,44.83,0.5,64.99,93,75,4.7,FR,1596259447
Bambous Virieux,-20.34,57.76,75.99,73,75,10.29,MU,1596259447
Broome,42.25,-75.83,66.2,77,1,4.7,US,1596259067
Yar-Sale,66.83,70.83,66.15,51,97,11.63,RU,1596259448
Grand Gaube,-20.01,57.66,75.99,66,13,8.01,MU,1596259448
Dudinka,69.41,86.18,62.6,72,75,20.13,RU,1596259448
Nikolskoye,59.7,30.79,57.2,71,40,11.18,RU,1596259448
Pangnirtung,66.15,-65.71,50.02,82,98,0.58,CA,1596259449
Nome,64.5,-165.41,57.2,93,75,3.36,US,1596259449
Whitecourt,54.15,-115.69,69.8,73,40,10.29,CA,1596259449
Ahipara,-35.17,173.17,58.33,76,100,19.13,NZ,1596259449
Tweed,44.48,-77.32,68.0,94,5,3.42,CA,1596259450
Vila Franca do Campo,37.72,-25.43,66.2,77,20,3.36,PT,1596259450
Payson,40.04,-111.73,84.2,37,1,5.41,US,1596259325
Aklavik,68.22,-135.01,66.2,59,40,6.93,CA,1596259450
Hong Kong,22.29,114.16,82.0,88,75,20.8,HK,1596259345
Rakovski,42.3,24.97,84.2,69,5,6.93,BG,1596259451
Lagoa,39.05,-27.98,68.94,69,4,6.93,PT,1596259451
Yārāda,17.65,83.27,87.8,74,75,6.93,IN,1596259451
Wajima,37.4,136.9,78.8,78,75,2.24,JP,1596259451
Alyangula,-13.85,136.42,82.4,42,40,9.17,AU,1596259451
Simbahan,6.3,120.58,82.26,76,55,10.92,PH,1596259452
Lata,40.16,-8.33,64.0,90,3,3.0,PT,1596259452
Haines Junction,60.75,-137.51,68.52,53,50,1.7,CA,1596259452
Kaspiysk,42.88,47.64,80.6,57,0,20.13,RU,1596259452
Poum,-20.23,164.02,70.7,73,0,31.0,NC,1596259267
Leningradskiy,69.38,178.42,40.84,70,68,6.31,RU,1596259453
Pangody,65.85,74.49,67.19,45,92,13.04,RU,1596259453
Chokwé,-24.53,32.98,57.61,90,0,1.28,MZ,1596259453
Vestmannaeyjar,63.44,-20.27,53.2,90,100,5.91,IS,1596259453
Laas,46.62,10.7,66.99,82,5,3.36,IT,1596259453
Talcahuano,-36.72,-73.12,48.2,93,100,5.82,CL,1596259454
Ancud,-41.87,-73.82,48.99,93,90,13.87,CL,1596259454
La Rioja,-29.41,-66.85,47.01,50,0,0.72,AR,1596259454
Bathsheba,13.22,-59.52,82.4,74,40,12.75,BB,1596259454
Guerrero Negro,27.98,-114.06,72.52,73,0,7.07,MX,1596259437
Qaqortoq,60.72,-46.03,42.8,81,22,3.36,GL,1596259455
Trindade,-16.65,-49.49,66.2,63,0,12.75,BR,1596259455
Sittwe,20.15,92.9,86.85,72,77,4.92,MM,1596259455
Kirakira,-10.45,161.92,83.48,70,89,4.09,SB,1596259455
Saint-Ambroise,48.55,-71.33,63.0,93,20,1.01,CA,1596259455
General Pico,-35.66,-63.76,45.01,63,72,9.69,AR,1596259456
Alugan,12.22,125.48,79.48,85,100,5.99,PH,1596259456
Ulaangom,49.98,92.07,69.46,33,100,8.95,MN,1596259456
Ilulissat,69.22,-51.1,42.8,93,100,1.12,GL,1596259456
Ibaiti,-23.85,-50.19,52.0,99,0,1.99,BR,1596259457
Maxixe,-23.86,35.35,55.4,93,20,2.24,MZ,1596259066
Santa Cruz Cabrália,-16.28,-39.02,73.4,78,40,5.82,BR,1596259457
Novikovo,51.15,37.89,59.59,74,3,10.2,RU,1596259457
Lysyye Gory,51.55,44.84,58.91,95,100,12.08,RU,1596259457
Vostok,46.49,135.88,76.28,82,97,4.94,RU,1596259458
Nara,34.69,135.8,91.99,55,75,4.7,JP,1596259458
Estelle,29.85,-90.11,82.0,88,1,8.05,US,1596259458
Malinovoye Ozero,51.68,79.78,76.48,44,0,7.0,RU,1596259458
Gouré,13.98,10.27,78.01,79,81,8.99,NE,1596259458
Esil,51.96,66.4,83.34,32,4,1.41,KZ,1596259459
Sarāhan,31.52,77.8,72.23,61,51,6.17,IN,1596259459
Ternate,0.8,127.4,82.38,77,74,4.56,ID,1596259459
Tanout,14.97,8.89,82.72,58,84,14.29,NE,1596259459
Issoire,45.55,3.25,64.4,93,0,1.12,FR,1596259460
Pisco,-13.7,-76.22,60.8,82,90,4.7,PE,1596259460
São Francisco,-15.95,-44.86,62.91,81,0,6.02,BR,1596259460
Belaya Gora,68.53,146.42,61.5,53,76,6.31,RU,1596259460
Kondagaon,19.6,81.67,85.84,68,99,3.02,IN,1596259460
Baruun-Urt,46.68,113.28,81.1,26,20,19.62,MN,1596259461
Shitanjing,39.23,106.34,87.37,20,5,6.73,CN,1596259461
San Rafael,-34.62,-68.33,48.88,46,49,7.96,AR,1596259292
Coyhaique,-45.58,-72.07,35.6,100,90,6.93,CL,1596259462
Yulara,-25.24,130.99,75.2,8,0,5.82,AU,1596259462
Vágur,61.47,-6.81,52.3,89,20,23.13,FO,1596259462
Marzuq,14.4,46.47,79.86,51,41,7.07,YE,1596259462
Córdoba,-31.41,-64.18,50.0,59,3,3.36,AR,1596259455
Novo Aripuanã,-5.12,-60.38,72.63,57,0,0.74,BR,1596259463
Anda,46.4,125.32,91.99,49,3,16.93,CN,1596259463
Flin Flon,54.77,-101.86,60.73,70,24,6.31,CA,1596259463
Berdychiv,49.9,28.6,56.82,87,0,8.99,UA,1596259463
Kon Tum,14.35,108.0,71.91,93,100,7.81,VN,1596259463
Sobolevo,54.43,31.9,54.5,91,100,10.63,RU,1596259464
Muzhi,65.37,64.67,61.18,75,98,7.07,RU,1596259464
Stokmarknes,68.56,14.91,57.99,84,100,3.0,NO,1596259464
Nakhon Si Thammarat,8.43,99.97,87.8,74,75,13.87,TH,1596259192
Jalu,29.03,21.55,76.77,51,0,8.21,LY,1596259272
Caçu,-18.56,-51.13,72.27,44,60,4.14,BR,1596259465
Peniche,39.36,-9.38,66.99,94,8,5.99,PT,1596259465
Bela,25.93,81.98,94.68,50,62,4.92,IN,1596259465
Abbeville,50.1,1.83,64.99,78,67,8.75,FR,1596259465
De Aar,-30.65,24.01,40.39,65,0,2.86,ZA,1596259465
Bissorã,12.22,-15.45,74.21,97,70,3.96,GW,1596259465
Luganville,-15.53,167.17,80.6,83,75,3.36,VU,1596259466
Kathmandu,27.72,85.32,77.0,83,75,2.24,NP,1596259320
Price,39.6,-110.81,75.2,19,1,9.17,US,1596259466
Saint John,45.27,-66.07,62.01,100,5,4.68,CA,1596259459
Henties Bay,-22.12,14.28,73.99,21,0,18.99,NA,1596259267
Gimli,50.63,-96.99,64.99,99,1,5.01,CA,1596259467
Cherskiy,68.75,161.3,53.69,60,95,9.24,RU,1596259467
Marathon,44.9,-89.77,62.6,93,1,5.82,US,1596259467
Voinka,45.87,33.99,68.74,71,68,12.33,UA,1596259467
Bowling Green,36.99,-86.44,75.2,94,90,3.56,US,1596259467
Antofagasta,-23.65,-70.4,57.2,71,90,8.05,CL,1596259468
Whakatane,-37.96,176.99,57.99,79,98,1.99,NZ,1596259468
Constitución,-35.33,-72.42,52.29,73,100,2.46,CL,1596259468
Chifeng,42.27,118.96,95.49,25,3,8.7,CN,1596259233
Tainan City,22.99,120.21,100.99,70,75,9.17,TW,1596259252
Lethem,3.38,-59.8,75.56,84,49,4.41,GY,1596259469
Araouane,18.9,-3.53,93.51,13,0,8.68,ML,1596259469
Windhoek,-22.56,17.08,46.99,39,0,5.82,NA,1596259469
Nhulunbuy,-12.23,136.77,80.6,57,75,18.34,AU,1596259469
Byron Bay,-28.65,153.62,64.99,72,36,12.75,AU,1596259470
Businga,3.33,20.88,71.1,93,61,1.77,CD,1596259470
Dagana,16.52,-15.51,83.75,70,30,8.48,MR,1596259470
Lexington,37.99,-84.48,71.01,97,1,4.7,US,1596259350
Igrim,63.19,64.42,62.37,84,91,8.97,RU,1596259470
Tra Vinh,9.93,106.35,81.57,84,100,12.53,VN,1596259175
Codrington,-38.27,141.97,63.12,62,0,15.3,AU,1596259471
Dymer,50.79,30.3,63.0,72,12,8.95,UA,1596259471
Cidreira,-30.18,-50.21,57.33,85,42,5.19,BR,1596259471
Havøysund,71.0,24.66,53.6,93,75,9.17,NO,1596259471
Tumut,-35.3,148.22,57.18,63,81,5.14,AU,1596259472
Odienné,9.51,-7.57,71.29,96,100,4.61,CI,1596259472
Meulaboh,4.14,96.13,84.85,62,82,3.47,ID,1596259472
Awjilah,29.11,21.29,76.15,56,0,8.3,LY,1596259472
Moranbah,-22.0,148.05,71.73,46,7,18.32,AU,1596259472
Tiksi,71.69,128.87,44.35,74,41,6.62,RU,1596259473
Del Rio,29.36,-100.9,78.8,65,20,5.82,US,1596259436
Dakar,14.69,-17.44,78.8,88,20,5.82,SN,1596259344
Sept-Îles,50.2,-66.38,60.01,100,75,5.82,CA,1596259387
Locri,38.24,16.26,81.0,88,20,6.93,IT,1596259474
Chapleau,47.84,-83.4,56.07,92,0,2.48,CA,1596259474
Sørland,67.67,12.69,53.6,93,90,4.7,NO,1596259474
Fairbanks,64.84,-147.72,73.4,46,1,4.21,US,1596259474
Popondetta,-8.75,148.25,83.79,53,51,5.64,PG,1596259475
Isangel,-19.55,169.27,72.54,90,96,13.87,VU,1596259475
Shelburne,44.08,-80.2,62.01,93,1,3.53,CA,1596259475
Quatre Cocos,-20.21,57.76,75.99,73,75,10.29,MU,1596259475
Namatanai,-3.67,152.43,81.27,81,100,12.41,PG,1596259384
Jiuquan,39.74,98.52,81.64,16,0,7.9,CN,1596259476
Motygino,58.18,94.76,70.05,66,36,6.58,RU,1596259476
Petropavlovsk-Kamchatskiy,53.05,158.65,73.4,38,21,11.18,RU,1596259476
San Juan,-31.54,-68.54,47.89,46,0,2.53,AR,1596259296
Ponta do Sol,32.67,-17.1,66.0,72,0,3.44,PT,1596259477
Cabras,39.93,8.53,82.99,31,0,3.0,IT,1596259477
Afşin,38.25,36.91,69.8,43,0,2.55,TR,1596259478
Quang Ngai,15.12,108.8,77.07,93,100,4.0,VN,1596259478
Sabaudia,41.3,13.03,73.99,80,26,2.26,IT,1596259478
Oskarshamn,57.26,16.45,59.0,93,0,1.99,SE,1596259478
Zhuhai,22.28,113.57,88.0,88,40,16.11,CN,1596259478
Saint-Pierre,-21.34,55.48,72.0,88,75,16.11,RE,1596259479
Coahuayana Viejo,18.73,-103.68,80.24,75,100,2.13,MX,1596259479
Mīzan Teferī,6.98,35.58,65.21,80,100,1.86,ET,1596259479
Teya,60.38,92.63,70.86,49,95,5.03,RU,1596259479
Kahului,20.89,-156.47,80.6,54,20,16.11,US,1596259480
Kamenka,51.32,42.77,57.51,93,100,6.08,RU,1596259480
Kindu,-2.95,25.95,72.68,65,12,0.83,CD,1596259480
Tuatapere,-46.13,167.68,53.56,88,96,3.62,NZ,1596259480
Aktash,50.3,87.73,55.96,45,22,4.43,RU,1596259480
Atambua,-9.11,124.89,80.83,47,2,4.07,ID,1596259481
Andra,62.51,65.89,64.69,79,78,9.73,RU,1596259481
Vallenar,-28.57,-70.76,62.51,29,0,2.84,CL,1596259481
Hasaki,35.73,140.83,88.0,65,40,11.41,JP,1596259482
Teshie,5.58,-0.11,75.2,94,75,6.93,GH,1596259434
Pargas,60.31,22.3,61.0,72,0,3.36,FI,1596259482
Huntingdon,52.33,-0.19,62.01,81,61,3.0,GB,1596259482
Wanlaweyn,2.62,44.89,77.58,75,54,16.22,SO,1596259482
Brae,60.4,-1.35,55.4,100,100,10.29,GB,1596259483
Kavieng,-2.57,150.8,82.6,77,98,8.81,PG,1596259483
Evans,33.53,-82.13,81.0,74,1,8.05,US,1596259483
Udachny,66.42,112.4,73.4,38,0,4.47,RU,1596259484
Bétera,39.58,-0.45,79.0,83,0,5.82,ES,1596259484
Blagoyevo,63.37,47.92,52.54,93,99,7.7,RU,1596259484
Bud,39.45,-86.18,68.0,98,100,8.08,US,1596259485
Sweetwater,25.76,-80.37,87.8,66,40,11.41,US,1596259237
Mogadishu,2.04,45.34,78.8,69,75,17.22,SO,1596259485
Markova,48.68,24.41,55.4,82,1,4.47,UA,1596259485
Malatya Province,38.5,38.0,77.0,38,0,3.36,TR,1596259486
Goba,7.02,39.98,52.38,89,100,4.03,ET,1596259486
Grand-Santi,4.25,-54.38,73.2,96,91,1.77,GF,1596259487
Pulaski,34.77,-92.3,73.0,94,90,14.99,US,1596259225
Zhob,31.34,69.45,88.14,32,0,2.57,PK,1596259487
Mar del Plata,-38.0,-57.56,48.99,100,5,8.39,AR,1596259481
